protein,interactors
CCAR2,SF3A1 ZNF335 RBMX SIRT1 TRIR SNRPD2 SNRPA1 DDX23 RBM10 SNRPD1 CTNNBL1 SEC31B ZC3H18 SF1 SNRNP200 HNRNPA3 SNRPB SRSF4 SUGP1 SRRM1 SART1 CCAR1 SNRNP70 HNRNPU TRA2B DHX15 HSP90AB1 SRSF7 PHF5A ELAVL1 HTATSF1 CFAP20 HSP90AA1 DDX46 DDX42 ACIN1 HNRNPC HNRNPUL1 PRPF3 U2AF2 ILF2 SNRPE PRCC CHERP CIRBP PUF60 CDC5L SNRPB2 ZNF207 DDX5 CDK11A EMSY PNN YBX1 NRIP2 SYNCRIP PPP1R8 CDC37 CD2BP2 PRPF40A HSPA8 SMNDC1 SNRPF NCBP1 SRSF5 SNRPG EFTUD2 HNRNPA2B1 PPP1CA RBM17 HNRNPK RNPS1 HNRNPAB NCBP2 PQBP1 U2AF1 SF3A3 PRPF6 SRRT ILF3 PRPF8 WBP11 SRSF3 AGGF1 TCERG1 CWC15 SF3B1 SRSF9 SF3B4 RBM39 SNRPC PCBP1 DHX9 DNAJC8 FUS BCAS2 SRSF6 HNRNPA1 SRSF1 SF3B2 SRRM2 HNRNPR BUB3 SF3B3 SNRPA IKBKB PRPF19 SF3B5 SF3B6 RBM5 SF3A2 FLJ10154 SAP30BP SNRPD3 U2SURP ZNF326 DDX17 PLRG1 RBM25 SRSF2
TDP1,XRCC1 LIG3 PNKP
DPM1,DPM2 DPM3
DPM2,DPM1 DPM3
DPM3,DPM1 DPM2
EIF4E,EIF4A1 EIF4G1 MKNK1
EIF4A1,MKNK1 PPP2R1A PPP2R1B PPME1 PPP2CA EIF4E EIF4G1
MKNK1,EIF4E EIF4A1 EIF4G1
HDAC6,TM4SF5 TCF4 CTNNB1 SUMO1 EXPH5 EP300 AURKA
USP33,ELOB VHL ELOC
FKBP5,CDC37 KTN1 NFKBIB HSP90AB1 TAB2 HSP90AA1 IKBKE TAB1 MAP3K7 CHUK TAB3
TAB3,CDC37 HSP90AB1 TAB2 HSP90AA1 TAB1 MAP3K7 FKBP5
KTN1,IKBKE FKBP5 CDC37 HSP90AA1 HSP90AB1
ARHGAP10,CTNNB1 CTNNA1
OS9,EGLN3 SYVN1 ERLIN2 DERL2 FAM8A1 FAF2 SEL1L UBE2J1 HIF1A ERLEC1 HSPA5 EGLN1 AUP1 BSG HSP90B1
EGLN1,LIMD1 HIF1A OS9 VHL
EGLN3,HIF1A OS9 PKM
PLIN3,RAB9A IGF2R
IGF2R,PLAU PLG PLAUR TGFB1 RAB9A PLIN3
RAB9A,PLIN3 IGF2R
TSEN54,CLP1 TSEN15 TSEN2 TSEN34
TSEN2,TSEN54 CLP1 TSEN15 TSEN34
TSEN15,TSEN54 CLP1 TSEN2 TSEN34
TSEN34,TSEN54 CLP1 TSEN15 TSEN2
TXLNA,IKBKG CDC37 ATG16L1 NFKBIB HSP90AB1 TBK1 HSP90AA1 CHUK CCAR1
ATG16L1,TXLNA IKBKG CDC37 NFKBIB HSP90AB1 TBK1 HSP90AA1 CHUK CCAR1
CCAR1,SF3A1 IKBKG RBMX TRIR SNRPD2 ATG16L1 SNRPA1 DDX23 RBM10 SNRPD1 CTNNBL1 SEC31B TXLNA ZC3H18 SF1 SNRNP200 NFKBIB HNRNPA3 SNRPB SRSF4 SUGP1 SRRM1 SART1 SNRNP70 HNRNPU TRA2B DHX15 HSP90AB1 SRSF7 PHF5A ELAVL1 TBK1 HTATSF1 CFAP20 HSP90AA1 DDX46 DDX42 ACIN1 HNRNPC HNRNPUL1 PRPF3 U2AF2 ILF2 SNRPE PRCC CHERP CIRBP PUF60 CDC5L SNRPB2 CHUK ZNF207 DDX5 CDK11A PNN YBX1 NRIP2 SYNCRIP PPP1R8 CDC37 CD2BP2 PRPF40A HSPA8 SMNDC1 SNRPF NCBP1 SRSF5 SNRPG EFTUD2 HNRNPA2B1 PPP1CA RBM17 HNRNPK RNPS1 HNRNPAB NCBP2 PQBP1 U2AF1 SF3A3 PRPF6 SRRT ILF3 PRPF8 WBP11 SRSF3 AGGF1 TCERG1 CWC15 SF3B1 SRSF9 SF3B4 RBM39 SNRPC PCBP1 DHX9 DNAJC8 FUS BCAS2 SRSF6 HNRNPA1 SRSF1 SF3B2 SRRM2 HNRNPR BUB3 SF3B3 SNRPA PRPF19 SF3B5 SF3B6 RBM5 SF3A2 FLJ10154 SAP30BP SNRPD3 CCAR2 U2SURP DDX17 PLRG1 RBM25 SRSF2
HTRA2,IKBKG TRAF2 LATS1 BIRC3 RANBP9 TNF TNFRSF1A SHARPIN GID8 MKLN1 PGAM5 XIAP RMND5A TANK TNIP2 RIPK1 RANBP10 SPATA2 MAEA ARMC8 TNIP1 BIRC2 GID4 RBCK1 TBK1 TNFAIP3 MAP3K7 TAB2 IKBKB TRADD RNF31 CYLD IKBKE YPEL5 WDR26 CHUK
LATS1,SAV1 PCBP1 XIAP PCBP2 NPHP4 HTRA2 STK3 STK4
XIAP,LATS1 HAX1 SIVA1 XAF1 HTRA2 BIRC5 MAP3K7
ASAP1,PXN RAB11A CTTN RAB11FIP3
ELMO1,RAC1 DOCK1 CRK DOCK2
DOCK2,ELMO1
FXR1,AGO2
THRB,RXRB
ERAP2,ERAP1
ERAP1,ERAP2
GCA,SRI
SRI,GCA ANXA7
TACC2,TACC3 KAT2B
TACC3,KAT2B TACC2
EGR1,EP300
EIF6,RPL7A RPL37A RPL21 RPL10A RPL11 RPL27 RPL12 RPL13 TARBP2 RPL34 RPL14 AGO2 RPLP2 RPLP1 RPL15 MOV10 RPL19 RPL18A RPL36 RSL24D1 RPL30 RPL7 DICER1 RPL35A RPL28 RPL32
MOV10,RPL7A RPL37A RPL21 RPL10A RPL11 RPL27 RPL12 RPL13 TARBP2 RPL34 RPL14 AGO2 RPLP2 RPLP1 RPL15 RPL19 RPL18A EIF6 RPL36 RSL24D1 RPL30 RPL7 DICER1 RPL35A RPL28 RPL32
RSL24D1,RPL7A RPL37A RPL21 RPL11 RPL10A RPL27 RPL12 RPL13 RPL34 RPL14 RPLP2 RPLP1 RPL15 MOV10 RPL19 RPL18A EIF6 RPL36 RPL30 RPL7 DICER1 RPL35A RPL28 RPL32
DDIT3,TRIB3
TRIB3,DDIT3
RAG1,RAG2
RAG2,RAG1
MGAM,RNF2 CHD8 WDR5 TAF4 KAT8 TAF7 RBBP5 MCRS1 INO80C HCFC1 KANSL1 ASH2L PRPF31 TEX10 TAF6 BAP18 PHF20 TAF1 KMT2A RUVBL1 LAS1L SENP3 E2F6 PELP1 HSPA4 TAF9
BAP18,RNF2 CHD8 WDR5 TAF4 KAT8 MGAM TAF7 RBBP5 MCRS1 INO80C HCFC1 KANSL1 ASH2L PRPF31 TEX10 TAF6 PHF20 TAF1 KMT2A RUVBL1 LAS1L SENP3 E2F6 PELP1 HSPA4 TAF9
PELP1,NOL9 WDR5 TAF4 MDN1 KAT8 ESR1 TAF7 HCFC1 KANSL1 PRPF31 TEX10 RUVBL1 LAS1L HSPA4 TAF9 SRC RNF2 CHD8 MGAM RBBP5 MCRS1 INO80C ASH2L TAF6 BAP18 WDR18 PHF20 TAF1 KMT2A SENP3 E2F6
PRPF31,SF3A1 SFSWAP LSM7 TAF4 SNRPA1 KAT8 RBM10 SMARCA4 SNRPD1 STRAP TXNL4A PBRM1 ACTL6A SF1 PRPF38A RUVBL1 LAS1L SRSF4 HSPA4 SNRNP70 SNRNP40 GEMIN4 LSM5 ASH2L LSM4 BAP18 LSM3 CPSF7 PRPF3 HNRNPH1 TAF1 SNRPE SMARCC1 PUF60 E2F6 SNRPB2 CPSF1 DDX5 ARID1B SNU13 LUC7L2 LUC7L3 PCBP2 NCBP1 TAF7 EFTUD2 RBM17 PRPF4 HNRNPL KANSL1 LSM6 TEX10 DDX39B DDX39A SF3A3 U2AF1 PRPF6 SART3 SF3B1 LSM8 DDX20 SMN2 SF3B4 RBM39 PCBP1 DHX9 DNAJC8 CPSF6 SMARCC2 BCAS2 SRSF1 SRRM2 UBL5 SF3B3 SNRPA ZMAT2 GEMIN8 HNRNPM ZCCHC8 SNRPD3 RUVBL2 SENP3 SRSF2 SMARCA2 NUDT21 SNRPD2 WDR5 HNRNPA0 DDX23 GEMIN5 RBMXL2 ACTBL2 SMU1 SNRNP200 MFAP1 SNRPB ARID2 SART1 PELP1 HNRNPU TAF9 GEMIN6 CHD8 DHX15 ARID1A SCAF4 SRSF7 PHF5A MTREX RBBP5 MCRS1 HTATSF1 HNRNPF DDX46 GEMIN2 RBM42 TAF6 HNRNPC U2AF2 PHF20 SRSF11 SMARCE1 CHERP YBX1 RBM25 SYNCRIP ALYREF PRPF40A LSM2 SNRPF SRSF5 HNRNPA2B1 PPIH HNRNPK HCFC1 NCBP2 SRRT PRPF8 SMARCA1 SRSF3 SREK1 SNRPC RNF2 KHSRP FUS HNRNPD SRSF6 HNRNPA1 MGAM SF3B2 USP39 HNRNPR SMARCB1 INO80C WBP4 PRPF19 CHD4 SF3B5 SF3B6 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 U2SURP KMT2A DDX17 SNRPG
PHF20,RNF2 CHD8 KANSL2 WDR5 TAF4 KAT8 MGAM TAF7 RBBP5 MCRS1 INO80C HCFC1 KANSL1 ASH2L KANSL3 PRPF31 TEX10 TAF6 BAP18 OGT TAF1 KMT2A RUVBL1 LAS1L SENP3 E2F6 PELP1 HSPA4 TAF9
SENP3,NOL9 RNF2 CHD8 WDR5 TAF4 MDN1 KAT8 MGAM TAF7 RBBP5 MCRS1 INO80C HCFC1 KANSL1 ASH2L PRPF31 TEX10 TAF6 BAP18 WDR18 PHF20 TAF1 KMT2A RUVBL1 LAS1L E2F6 PELP1 HSPA4 TAF9
CHD8,SF3A1 SFSWAP TAF4 SNRPA1 KAT8 RBM10 SMARCA4 SNRPD1 STRAP PBRM1 ACTL6A SF1 RUVBL1 LAS1L SRSF4 HSPA4 SNRNP70 GEMIN4 SNRNP40 ASH2L LSM4 BAP18 CPSF7 PRPF3 HNRNPH1 TAF1 SNRPE SMARCC1 PUF60 E2F6 CPSF1 SNRPB2 DDX5 ARID1B LUC7L2 LUC7L3 PCBP2 NCBP1 TAF7 EFTUD2 RBM17 PRPF4 HNRNPL KANSL1 TEX10 DDX39B DDX39A U2AF1 SF3A3 PRPF6 SART3 SF3B1 DDX20 SMN2 SF3B4 RBM39 PCBP1 DHX9 DNAJC8 CPSF6 SMARCC2 BCAS2 SRSF1 SRRM2 SF3B3 SNRPA GEMIN8 HNRNPM ZCCHC8 SNRPD3 RUVBL2 SENP3 SRSF2 SMARCA2 NUDT21 SNRPD2 WDR5 HNRNPA0 GEMIN5 DDX23 RBMXL2 ACTBL2 PRPF31 SNRNP200 SNRPB ARID2 SART1 PELP1 HNRNPU TAF9 GEMIN6 DHX15 ARID1A SCAF4 SRSF7 PHF5A MTREX RBBP5 MCRS1 HTATSF1 HNRNPF DDX46 GEMIN2 RBM42 TAF6 HNRNPC U2AF2 PHF20 SRSF11 SMARCE1 CHERP YBX1 RBM25 SYNCRIP ALYREF PRPF40A SNRPF SRSF5 HNRNPA2B1 PPIH HNRNPK HCFC1 NCBP2 SRRT PRPF8 SMARCA1 SRSF3 SREK1 SNRPC RNF2 KHSRP FUS HNRNPD SRSF6 HNRNPA1 MGAM SF3B2 USP39 HNRNPR SMARCB1 INO80C PRPF19 CHD4 SF3B6 SRSF8 RBM7 SMARCD1 SF3A2 SMN1 U2SURP KMT2A DDX17 SNRPG
TEX10,NOL9 RNF2 CHD8 WDR5 TAF4 MDN1 KAT8 MGAM TAF7 RBBP5 MCRS1 INO80C HCFC1 KANSL1 ASH2L PRPF31 TAF6 BAP18 WDR18 PHF20 TAF1 KMT2A RUVBL1 LAS1L SENP3 E2F6 PELP1 HSPA4 TAF9
LAS1L,NOL9 RNF2 CHD8 WDR5 TAF4 MDN1 KAT8 MGAM TAF7 RBBP5 MCRS1 INO80C HCFC1 KANSL1 ASH2L PRPF31 TEX10 TAF6 BAP18 WDR18 PHF20 TAF1 KMT2A RUVBL1 SENP3 E2F6 PELP1 HSPA4 TAF9
SERPINA1,ELANE KLK3 CTSG
ELANE,SERPINA1
SERPINA3,KLK2 KLK6 CTSG
CTSG,SERPINA1 SERPINA3
BRCC3,BRCA2 BABAM2 RAD51 BRCA1 ABRAXAS2 BABAM1 IFI16
BABAM2,BRCA2 BRCC3 RAD51 BRCA1 ABRAXAS2 BABAM1
KIF5B,PLEKHM2 ZFYVE27
PLEKHM2,KIF5B
NTF3,NGFR
GRIN1,PRR7 TIAM1 CHRNA7 GRIN2B
S1PR1,HTR1D MAPK3 MET MAPK1 ARRB2 HTR1A ITGB4 PRKCA KDR
HTR1D,S1PR1 HTR1A HTR1B
HTR1A,HTR1D GABBR2 GPR26 S1PR3 S1PR1 HTR1B
HTR1B,HTR1D HTR1A
GABBR2,GRM1 HTR1A GABBR1
GPR26,HTR1A
S1PR3,MAPK3 PRKCA MAPK1 HTR1A KDR
PRKN,BAG5 PINK1 PARK7 TOMM40 HSPA1A TOMM70 HSPA4
BAG5,PRKN HSPA4 HSPA1A
ANKRD11,HDAC3
PDS5A,PDS5B SMC3 SMC1A CDCA5 RAD21
CDCA5,PDS5B SMC3 SMC1A RAD21 PDS5A
PDS5B,SMC3 SMC1A CDCA5 RAD21 PDS5A
NRG1,ITGB4 IKZF4 ITGB3 ITGAV ERBB3 ITGA6
IKZF4,NRG1
EPOR,EPO
EPO,EPOR
DEK,SMARCA5 MYBBP1A ALYREF RBM8A RNPS1 DDX21 SPEF2 BAZ1B SRRM1 ERCC6 SF3B1 MYO1C
OPA1,MED18 MED16 MED27 MED13 MED6 MED22 MED26 MED1 MED10 MED29 MED31 MED4 MED17 MED7 MED13L MED14 MED11 MED23 MED21 MED15 MED19 MED30 MED20 MED25 MED8 MED24
FAS,CASP10 CFLAR FADD CASP8
COMMD1,COMMD9 WASHC2C COMMD6 NFKBIA COMMD10 COMMD7 COMMD4 CUL2 RELA CCDC93 CCDC22 COMMD3 VPS35L COMMD2 COMMD5 COMMD8 WASH1
CIAO1,MMS19 CIAO3 CIAO2B SLC25A5 ERCC2
MMS19,CIAO1 CIAO3 CIAO2B SLC25A5 ERCC2
CIAO2B,CIAO1 MMS19 CIAO3 SLC25A5 ERCC2
ILK,LIMS2 ATP2A2 CDC37 PLN LIMS1 ARHGEF6 PARVB PARVA HSP90AA1
ARHGEF6,PARVB ILK
BIRC2,IKBKG TRAF2 TNIP1 BIRC3 CASP8 RBCK1 TBK1 TNFAIP3 MAP3K7 TAB2 TNF IKBKB TNFRSF1A TRADD FADD SHARPIN RNF31 TANK TNIP2 CYLD IKBKE RIPK1 HTRA2 SPATA2 CHUK
TNFRSF1A,IKBKG TRAF2 BIRC3 TNF SHARPIN TANK TNIP2 RIPK1 HTRA2 SPATA2 TNIP1 BIRC2 RBCK1 TBK1 TNFAIP3 MAP3K7 TAB2 IKBKB TRADD RNF31 CYLD IKBKE TAB1 CHUK
TRADD,IKBKG TRAF2 BIRC3 TNF TNFRSF1A SHARPIN TANK TNIP2 RIPK1 HTRA2 SPATA2 TNIP1 TRAF3 CASP8 BIRC2 RBCK1 TBK1 TNFAIP3 MAP3K7 MAVS TAB2 IKBKB FADD RNF31 CYLD IKBKE TAB1 CHUK
PLCB1,PARD3 PARD6A
PLCB3,SLC9A3R2 PARD3 SSTR1 SSTR2 SLC9A3R1 LPAR2 SSTR3 PARD6A CXCR2 SSTR5 SSTR4 PDZK1
GADD45A,CCNB1 CDK1 PCNA
GADD45B,CCNB1 CDK1 PCNA
GADD45G,CCNB1 CDK1 PCNA
CCNF,CDK1 CCNB1
PTCH1,CDON CCNB1 ZYG11B CUL2 ELOB CDK1 ELOC
SOCS3,LMO4 JAK1 IL6ST JAK2 PTPN11
JAK1,LMO4 SOCS3 IL6ST PTPN11
STAT1,IRF9 IRF8 STAT3 PARP9 CREBBP STAT2 SPI1 IRF1 DTX3L
NR5A2,PRMT1 SERBP1 NR0B2 PPARA ILF3
NR0B2,NR5A2
CNTF,CNTFR LIFR IL6ST
CNTFR,SORL1 IL6ST CNTF CLCF1 LIFR CRLF1
LIFR,CNTFR LIF IL6ST CNTF
LIF,LIFR IL6ST
LIN52,LIN54 RBBP4 TFDP1 RBL1 LIN37 MYBL2 LIN9 E2F4 RBL2
LIN54,RBBP4 TFDP1 RBL1 LIN37 MYBL2 LIN9 E2F4 LIN52 RBL2
LIN37,LIN54 RBBP4 TFDP1 RBL1 MYBL2 LIN9 E2F4 LIN52 RBL2
EMD,BANF2 HDAC3 H3C7 SNRPD1 THRA CNN3 HDGF TBL1Y LMNA HDAC1 H3C8 H3C6 YWHAE BANF1 SIKE1 HNRNPU H3C4 BCCIP RCOR1 SSB MYH9 API5 G3BP1 TBL1XR1 RBL2 MYO1E SAP18 SAP130 SMARCC1 IQGAP1 YWHAQ CDC37 LSM2 H3C3 PDCD4 LMO7 CKB LMNB1 HNRNPK H3C2 HNRNPL DDX39A YWHAB ACTB ILF3 LEMD3 LSM8 SPTAN1 SMARCC2 RB1 MCM4 ZRANB2 RBL1 MED4 TRIM28 H3C11 MCM2 SMARCB1 CHD4 NMI MCM6 H3C12 H1-1 C1QBP H3C10 DPY30 H3C1
MYO1E,SPTAN1 ACTB LMO7 MYH9 SIKE1 CNN3 EMD
SPTAN1,BANF2 HDAC3 H3C3 LMO7 H3C7 LMNB1 H3C2 CASP2 CNN3 TBL1Y LMNA HDAC1 ACTB H3C8 H3C6 SIKE1 EMD H3C4 SMARCC2 RBL1 RCOR1 MED4 TRIM28 MYH9 H3C11 SMARCB1 TBL1XR1 CHD4 RBL2 MYO1E NMI H3C12 SAP18 H3C10 SMARCC1 DPY30 H3C1
CNN3,MYO1E SPTAN1 ACTB LMO7 MYH9 SIKE1 EMD
LMO7,SPTAN1 H3C4 RBL1 HDAC3 H3C3 H3C1 MYH9 H3C7 H3C11 H3C2 CNN3 MYO1E HDAC1 H3C12 ACTB H1-1 H3C8 H3C6 H3C10 BANF1 SIKE1 EMD
SIKE1,MYO1E SPTAN1 ACTB LMO7 MYH9 CNN3 EMD
LMNB1,YWHAQ CDC37 BANF2 LSM2 HDAC3 H3C3 PDCD4 CKB H3C7 IQGAP1 HNRNPK H3C2 SNRPD1 THRA HNRNPL HDGF DDX39A YWHAB LMNA TBL1Y ACTB HDAC1 H3C8 H3C6 ILF3 YWHAE BANF1 LEMD3 LSM8 HNRNPU EMD H3C4 SPTAN1 SMARCC2 RB1 MCM4 BCCIP ZRANB2 RBL1 RCOR1 MED4 SSB MCM2 H3C11 TRIM28 API5 G3BP1 SMARCB1 TBL1XR1 CHD4 RBL2 NMI MCM6 H3C12 H1-1 C1QBP SAP18 H3C10 SAP130 SMARCC1 DPY30 H3C1
H1-1,YWHAQ BANF2 HDAC3 H3C3 PDCD4 LMO7 CKB H3C7 LMNB1 THRA H3C2 HNRNPK SNRPD1 HNRNPL HDGF DDX39A HDAC1 LMNA ACTB H3C8 H3C6 ILF3 YWHAE BANF1 LEMD3 LSM8 HNRNPU EMD H3C4 RB1 MCM4 RBL1 H3C11 MCM2 API5 RBL2 NMI MCM6 H3C12 C1QBP H3C10 SAP130 IQGAP1 H3C1
BANF2,TMPO HDAC3 H3C3 H3C7 LMNB1 H3C2 TBL1Y LMNA HDAC1 ACTB H3C8 H3C6 BANF1 HNRNPU EMD H3C4 SPTAN1 SMARCC2 RB1 MCM4 RBL1 RCOR1 MED4 TRIM28 MCM2 H3C11 SMARCB1 TBL1XR1 CHD4 RBL2 NMI MCM6 H3C12 H1-1 C1QBP SAP18 H3C10 SAP130 SMARCC1 DPY30 H3C1
ZRANB2,BCCIP CDC37 LSM2 SSB LMNB1 HNRNPK SNRPD1 G3BP1 YWHAB ACTB YWHAE BANF1 SAP130 LSM8 EMD
G3BP1,BCCIP CDC37 ZRANB2 LSM2 SSB LMNB1 HNRNPK SNRPD1 YWHAB ACTB YWHAE BANF1 SAP130 LSM8 EMD
BCCIP,CDC37 ZRANB2 LSM2 SSB LMNB1 HNRNPK SNRPD1 G3BP1 YWHAB ACTB YWHAE BANF1 SAP130 LSM8 EMD
TBL1Y,BANF2 HDAC3 H3C3 H3C7 LMNB1 H3C2 HDAC1 ACTB H3C8 H3C6 EMD H3C4 SPTAN1 SMARCC2 RBL1 RCOR1 MED4 TRIM28 H3C11 SMARCB1 TBL1XR1 CHD4 RBL2 NMI H3C12 SAP18 H3C10 SMARCC1 DPY30 H3C1
DDX39A,SF3A1 SFSWAP SNRPA1 RBM10 SMARCA4 THRA SNRPD1 STRAP PBRM1 ACTL6A HDGF SF1 YWHAE RUVBL1 SRSF4 SNRNP70 GEMIN4 SNRNP40 SARNP API5 LSM4 CPSF7 PRPF3 HNRNPH1 SNRPE SMARCC1 PUF60 CPSF1 SNRPB2 DDX5 ARID1B LUC7L2 LUC7L3 PCBP2 NCBP1 CKB EFTUD2 RBM17 PRPF4 HNRNPL DDX39B U2AF1 SF3A3 PRPF6 SART3 SF3B1 LSM8 DDX20 SMN2 SF3B4 RBM39 PCBP1 DHX9 DNAJC8 CPSF6 SMARCC2 BCAS2 SRSF1 SRRM2 SF3B3 SNRPA GEMIN8 HNRNPM ZCCHC8 SNRPD3 RUVBL2 SRSF2 SMARCA2 NUDT21 SNRPD2 HNRNPA0 GEMIN5 DDX23 RBMXL2 ACTBL2 PRPF31 SNRNP200 SNRPB ARID2 SART1 HNRNPU GEMIN6 CHD8 DHX15 ARID1A SCAF4 SRSF7 PHF5A MTREX HTATSF1 HNRNPF DDX46 GEMIN2 RBL2 RBM42 HNRNPC U2AF2 SRSF11 SMARCE1 CHERP IQGAP1 YBX1 RBM25 SYNCRIP YWHAQ ALYREF PRPF40A PDCD4 SNRPF SRSF5 LMNB1 HNRNPA2B1 HNRNPK PPIH NCBP2 ACTB SRRT ILF3 PRPF8 SMARCA1 SRSF3 LEMD3 EMD SREK1 SNRPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 SF3B2 USP39 HNRNPR SMARCB1 PRPF19 CHD4 NMI SF3B6 SRSF8 H1-1 RBM7 SMARCD1 SF3A2 SMN1 C1QBP U2SURP DDX17 SNRPG
CKB,YWHAQ PDCD4 LMNB1 API5 THRA HNRNPK SNRPD1 IQGAP1 HNRNPL RBL2 HDGF DDX39A NMI ACTB H1-1 ILF3 C1QBP YWHAE LEMD3 LSM8 HNRNPU EMD
HNRNPL,SF3A1 SFSWAP SNRPA1 RBM10 SMARCA4 THRA SNRPD1 STRAP PBRM1 ACTL6A HDGF SF1 YWHAE RUVBL1 SRSF4 SNRNP70 GEMIN4 SNRNP40 API5 LSM4 CPSF7 PRPF3 HNRNPH1 SNRPE SMARCC1 PUF60 CPSF1 SNRPB2 DDX5 ARID1B LUC7L2 LUC7L3 PCBP2 NCBP1 CKB EFTUD2 RBM17 PRPF4 DDX39B DDX39A U2AF1 SF3A3 PRPF6 SART3 SF3B1 LSM8 DDX20 SMN2 SF3B4 RBM39 PCBP1 DHX9 DNAJC8 CPSF6 SMARCC2 BCAS2 SRSF1 SRRM2 SF3B3 SNRPA GEMIN8 HNRNPM ZCCHC8 SNRPD3 RUVBL2 SRSF2 SMARCA2 NUDT21 SNRPD2 HNRNPA0 GEMIN5 DDX23 RBMXL2 ACTBL2 PRPF31 SNRNP200 SNRPB ARID2 SETD2 SART1 HNRNPU GEMIN6 CHD8 DHX15 ARID1A SCAF4 SRSF7 PHF5A MTREX HTATSF1 HNRNPF DDX46 GEMIN2 RBL2 RBM42 HNRNPC U2AF2 SRSF11 SMARCE1 CHERP IQGAP1 YBX1 RBM25 SYNCRIP YWHAQ ALYREF PRPF40A PDCD4 SNRPF SRSF5 LMNB1 HNRNPA2B1 HNRNPK PPIH NCBP2 ACTB SRRT ILF3 PRPF8 SMARCA1 SRSF3 LEMD3 EMD SREK1 SNRPC KHSRP FUS HNRNPD SRSF6 HNRNPA1 SF3B2 USP39 HNRNPR SMARCB1 PRPF19 CHD4 NMI SF3B6 SRSF8 H1-1 RBM7 SMARCD1 SF3A2 SMN1 C1QBP U2SURP DDX17 SNRPG
HDGF,YWHAQ DDX5 CTNNB1 PDCD4 CKB LMNB1 API5 THRA HNRNPK SNRPD1 IQGAP1 HNRNPL RBL2 DDX39A NMI ACTB H1-1 ILF3 C1QBP YWHAE LEMD3 LSM8 HNRNPU EMD
PDCD4,YWHAQ CKB LMNB1 API5 THRA HNRNPK SNRPD1 IQGAP1 HNRNPL RICTOR RBL2 HDGF DDX39A NMI ACTB H1-1 ILF3 C1QBP YWHAE LEMD3 LSM8 HNRNPU EMD
LEMD3,YWHAQ PDCD4 CKB LMNB1 API5 THRA HNRNPK SNRPD1 IQGAP1 SMAD2 HNRNPL RBL2 HDGF DDX39A NMI ACTB H1-1 ILF3 C1QBP YWHAE LSM8 HNRNPU EMD
FKBPL,HSP90AA1 CDKN1A
GRIN2A,DLG4 CHRNA7 FYN
PTTG1,ESPL1
ESPL1,PTTG1 CDK1
FARP2,PLXNA4 PLXNA1 PLXNA2 NRP1 PLXNA3
PLXNA1,NRP2 SEMA3A NRP1 CRMP1 SEMA6D RANBP9 FARP2 MICAL1
PLXNA2,RANBP9 FARP2 NRP1
PLXNA3,RANBP9 FARP2 NRP1
PLXNA4,RANBP9 FARP2 NRP1
SEMA4A,PLXND1
PLXND1,SEMA3C SEMA4A NRP1
LRRC7,CAMK2A ACTN4
CAMK2A,KPNA1 ATP2A2 ACTN4 LRRC7 CALM1
CEBPE,RB1 E2F1
SEMA3C,PLXND1 NRP1
PLXNC1,SEMA7A
SEMA7A,PLXNC1
PLXNB1,NRP1 SEMA4D
SEMA4D,PLXNB1
TRIM27,RB1 MAGEL2 USP7
NRP2,VEGFC PLXNA1 FLT4 VEGFA VEGFD
NPLOC4,ZFAND2B BAG6 NEDD8 VCP RNF8 UFD1 DERL1 ATXN3 NUB1 FAF2 SELENOS
UFD1,ZFAND2B BAG6 NEDD8 VCP NPLOC4 RNF8 DERL1 ATXN3 NUB1 FAF2 SELENOS
SEMA6D,NRP1 PLXNA1
TNFSF13B,
BAZ2A,SMARCA5 DNMT1 HDAC1 DNMT3B
FLT1,VEGFA
SORBS2,CBL PTK2B
OSTF1,SRC CBL
TAF1C,TAF1B TAF1A TBP
TAF1A,TAF1C TAF1B TBP
TAF1B,TAF1C TAF1A TBP
FLT4,NRP2 CDH5 KDR
SEMA3A,NRP1 PLXNA1
ADRA2A,GRIA2
CFLAR,CASP10 TICAM1 FADD TLR3 CASP8 BCL2L1 FAS RIPK1
BCL2L1,CFLAR TP53 CASP8
SAE1,UBA2 SUMO1
UBA2,SUMO1 SAE1
CRMP1,PLXNA1 MICAL1
MICAL1,CRMP1 PLXNA1
RUNX1,HIPK2 COPRS EP300 PRMT5 CBFB
CBFB,RUNX1 COPRS PRMT5
KEAP1,NFE2L2 CUL3 RBX1 PGAM5
NFE2L2,KEAP1 PGAM5
PGAM5,RIPK3 GID4 RANBP9 NFE2L2 MLKL KEAP1 GID8 MKLN1 RMND5A RIPK1 YPEL5 RANBP10 HTRA2 WDR26 MAEA ARMC8
CD95,FADD CASP8
GABRA1,GABRB2 GABRD GABRG2
GABRG2,GABRB2 GABRA1
GABRB2,GABRA1 GABRD GABRG2
CASP9,CYCS NAIP APAF1 CASP7 CASP3
MCL1,BAK1
BAK1,MCL1
SNCA,PARK7 TUBB3
PARK7,PINK1 EFCAB6 SNCA AR PRKN
RHOT2,PINK1 TRAK1
PINK1,PARK7 TRAK1 RHOT2 PRKN
TRAK1,PINK1 DISC1 RHOT2
AIFM1,PPIA CHCHD4
PPIA,AIFM1
LRRK2,FADD CDC37 STUB1 HSP90AB1 CASP8
AK2,CASP10 FADD
